qid,competition,timestamp,section,number,original_question,original_answer,original_additional_info,question,answers
AIO04-0119,第4回AI王,2023/09/01,開発用データ,119,毎年5月から6月にかけて社交ダンスの世界最高峰の競技会が行われるイギリスの町はどこ？,ブラックプール,,毎年5月から6月にかけて社交ダンスの世界最高峰の競技会が行われるイギリスの町はどこ?,['ブラックプール']
AIO04-0120,第4回AI王,2023/09/01,開発用データ,120,夜空の星座で、ポーランド王のソビエスキーが持っていた武器がモチーフになったとされるのは何座？,たて座,"盾座, たて, 盾",夜空の星座で、ポーランド王のソビエスキーが持っていた武器がモチーフになったとされるのは何座?,"['たて座', '盾座', 'たて', '盾']"
AIO04-0121,第4回AI王,2023/09/01,開発用データ,121,まっしぐら、青天の霹靂、つがるロマンは、いずれもどこの都道府県のブランド米？,青森県,青森,まっしぐら、青天の霹靂、つがるロマンは、いずれもどこの都道府県のブランド米?,"['青森県', '青森']"
AIO04-0122,第4回AI王,2023/09/01,開発用データ,122,毎年11月の第1火曜日にオーストラリアのフレミントン競馬場で開催される、オーストラリアの最高賞金額レースは何？,メルボルンカップ,,毎年11月の第1火曜日にオーストラリアのフレミントン競馬場で開催される、オーストラリアの最高賞金額レースは何?,['メルボルンカップ']
AIO04-0123,第4回AI王,2023/09/01,開発用データ,123,ポリエチレンなどのプラスチック素材でつくられた造花のことを、日本がかつて造花を多く輸入していたアジアの地域から「何フラワー」という？,ホンコンフラワー,"香港フラワー, ホンコン, 香港",ポリエチレンなどのプラスチック素材でつくられた造花のことを、日本がかつて造花を多く輸入していたアジアの地域から「何フラワー」という?,"['ホンコンフラワー', '香港フラワー', 'ホンコン', '香港']"
AIO04-0124,第4回AI王,2023/09/01,開発用データ,124,1981年に刊行された小説『占星術殺人事件』で初登場した、島田荘司が生み出した名探偵は誰？,御手洗潔,,1981年に刊行された小説『占星術殺人事件』で初登場した、島田荘司が生み出した名探偵は誰?,['御手洗潔']
AIO04-0125,第4回AI王,2023/09/01,開発用データ,125,鳴き声が「テッペンカケタカ」「トッキョキョカキョク」などと聞こえる、「夏告鳥」と呼ばれる鳥は何？,ホトトギス,"ほととぎす, 時鳥, 杜鵑, 不如帰",鳴き声が「テッペンカケタカ」「トッキョキョカキョク」などと聞こえる、「夏告鳥」と呼ばれる鳥は何?,"['ホトトギス', 'ほととぎす', '時鳥', '杜鵑', '不如帰']"
AIO04-0126,第4回AI王,2023/09/01,開発用データ,126,サーファーのような格好をしているものの、実際にはサーフィンをしない人を俗に何という？,陸サーファー,,サーファーのような格好をしているものの、実際にはサーフィンをしない人を俗に何という?,['陸サーファー']
AIO04-0127,第4回AI王,2023/09/01,開発用データ,127,1911年にイエズス会が設置した日本初のカトリック系高等教育機関を起源とする、「ソフィア」という愛称で知られる大学は何？,上智大学,,1911年にイエズス会が設置した日本初のカトリック系高等教育機関を起源とする、「ソフィア」という愛称で知られる大学は何?,['上智大学']
AIO04-0128,第4回AI王,2023/09/01,開発用データ,128,ミュージカルなどの舞台で、メインキャスト以外の役者がこれより前に出てはならないという目印として引かれる線を何という？,コーラスライン,,ミュージカルなどの舞台で、メインキャスト以外の役者がこれより前に出てはならないという目印として引かれる線を何という?,['コーラスライン']
AIO04-0129,第4回AI王,2023/09/01,開発用データ,129,著書『生命の起源』で知られる、初めて生命の起源を科学的に提唱したソ連の科学者は誰？,アレクサンドル・オパーリン,"オパーリン, アレクサンドル・イヴァノヴィッチ・オパーリン",著書『生命の起源』で知られる、初めて生命の起源を科学的に提唱したソ連の科学者は誰?,"['アレクサンドル・オパーリン', 'オパーリン', 'アレクサンドル・イヴァノヴィッチ・オパーリン']"
AIO04-0130,第4回AI王,2023/09/01,開発用データ,130,子どもの命名をし、家族で祝う風習がある、赤ちゃんが生まれてから7日目のお祝いを何という？,お七夜,御七夜,子どもの命名をし、家族で祝う風習がある、赤ちゃんが生まれてから7日目のお祝いを何という?,"['お七夜', '御七夜']"
AIO04-0131,第4回AI王,2023/09/01,開発用データ,131,国家の機能が最小限に制限されている自由主義国家のことを、政治学者ラッサールの言葉から何という？,夜警国家,,国家の機能が最小限に制限されている自由主義国家のことを、政治学者ラッサールの言葉から何という?,['夜警国家']
AIO04-0132,第4回AI王,2023/09/01,開発用データ,132,事態が込み入っている様子を、道がくねくねと曲がりくねった状態を意味する四字熟語で何という？,紆余曲折,,事態が込み入っている様子を、道がくねくねと曲がりくねった状態を意味する四字熟語で何という?,['紆余曲折']
AIO04-0133,第4回AI王,2023/09/01,開発用データ,133,消しゴム付き鉛筆で、消しゴムを固定するための金属のパーツを何という？,フェルール,ヘルール,消しゴム付き鉛筆で、消しゴムを固定するための金属のパーツを何という?,"['フェルール', 'ヘルール']"
AIO04-0134,第4回AI王,2023/09/01,開発用データ,134,蓄音機で亡くなった昔の飼い主の声を聞いている姿が描かれている、ビクターのロゴマークのフォックス・テリアの名前は何？,ニッパー,,蓄音機で亡くなった昔の飼い主の声を聞いている姿が描かれている、ビクターのロゴマークのフォックス・テリアの名前は何?,['ニッパー']
AIO04-0135,第4回AI王,2023/09/01,開発用データ,135,『ハクナ・マタタ』や『サークル・オブ・ライフ』などの劇中歌で知られるミュージカルは何？,ライオンキング,,『ハクナ・マタタ』や『サークル・オブ・ライフ』などの劇中歌で知られるミュージカルは何?,['ライオンキング']
AIO04-0136,第4回AI王,2023/09/01,開発用データ,136,1204年に京都で観測されたと思われるオーロラに関する記述がある、鎌倉時代の貴族・藤原定家の日記は何？,明月記,,1204年に京都で観測されたと思われるオーロラに関する記述がある、鎌倉時代の貴族・藤原定家の日記は何?,['明月記']
AIO04-0137,第4回AI王,2023/09/01,開発用データ,137,赤穂浪士の吉良邸討ち入り事件を題材として、竹田出雲らによって書かれた、塩冶判官、高師直、大星由良之助などの人物が登場する人形浄瑠璃は何？,仮名手本忠臣蔵,忠臣蔵,赤穂浪士の吉良邸討ち入り事件を題材として、竹田出雲らによって書かれた、塩冶判官、高師直、大星由良之助などの人物が登場する人形浄瑠璃は何?,"['仮名手本忠臣蔵', '忠臣蔵']"
AIO04-0138,第4回AI王,2023/09/01,開発用データ,138,大きな透明の球体の中に入り、丘などで転がって楽しむ、ニュージーランド生まれのスポーツは何？,ゾービング,ゾーブ,大きな透明の球体の中に入り、丘などで転がって楽しむ、ニュージーランド生まれのスポーツは何?,"['ゾービング', 'ゾーブ']"
AIO04-0139,第4回AI王,2023/09/01,開発用データ,139,叫び声でガラスを割る能力を持つ、ギュンター・グラスの小説『ブリキの太鼓』に登場する主人公の名前は何？,オスカル・マツェラート,マツェラート,叫び声でガラスを割る能力を持つ、ギュンター・グラスの小説『ブリキの太鼓』に登場する主人公の名前は何?,"['オスカル・マツェラート', 'マツェラート']"
AIO04-0140,第4回AI王,2023/09/01,開発用データ,140,1文字目の漢字の部首は正確には「あなかんむり」であるものの、警察用語では「うかんむり」といわれる犯罪は何？,窃盗,,1文字目の漢字の部首は正確には「あなかんむり」であるものの、警察用語では「うかんむり」といわれる犯罪は何?,['窃盗']
AIO04-0141,第4回AI王,2023/09/01,開発用データ,141,九州7県で、福岡県に次いで2番目に人口が多い県はどこ？,熊本県,熊本,九州7県で、福岡県に次いで2番目に人口が多い県はどこ?,"['熊本県', '熊本']"
AIO04-0142,第4回AI王,2023/09/01,開発用データ,142,和歌のことを「敷島の道」といいますが、連歌のことを「どこの道」という？,筑波の道,筑波,和歌のことを「敷島の道」といいますが、連歌のことを「どこの道」という?,"['筑波の道', '筑波']"
AIO04-0143,第4回AI王,2023/09/01,開発用データ,143,トランプのポーカーで、賭け金を釣り上げるため、相手よりも多くチップを出すことを何という？,レイズ,,トランプのポーカーで、賭け金を釣り上げるため、相手よりも多くチップを出すことを何という?,['レイズ']
AIO04-0144,第4回AI王,2023/09/01,開発用データ,144,靴の甲の部分をU字型にぬい合わせることから、その縫い方の名前がつけられた、北米の先住民が履いていた1枚皮のスリッポンシューズに由来する靴は何？,モカシン,モカシンシューズ,靴の甲の部分をU字型にぬい合わせることから、その縫い方の名前がつけられた、北米の先住民が履いていた1枚皮のスリッポンシューズに由来する靴は何?,"['モカシン', 'モカシンシューズ']"
AIO04-0145,第4回AI王,2023/09/01,開発用データ,145,野球のピッチャーを評価する時などにいう、物を投げるときに必要な「持ち前の肩の力」を指す言葉は何？,地肩,,野球のピッチャーを評価する時などにいう、物を投げるときに必要な「持ち前の肩の力」を指す言葉は何?,['地肩']
AIO04-0146,第4回AI王,2023/09/01,開発用データ,146,スポーツなどで、4チームでトーナメントを行う場合の試合数は全部で3試合ですが、4チームでリーグ戦を行う場合の試合数は全部で何試合になる？,6試合,6,スポーツなどで、4チームでトーナメントを行う場合の試合数は全部で3試合ですが、4チームでリーグ戦を行う場合の試合数は全部で何試合になる?,"['6試合', '6']"
AIO04-0147,第4回AI王,2023/09/01,開発用データ,147,シベリア地方など北半球の亜寒帯に広がる針葉樹林のことを、ロシア語で何という？,タイガ,,シベリア地方など北半球の亜寒帯に広がる針葉樹林のことを、ロシア語で何という?,['タイガ']
AIO04-0148,第4回AI王,2023/09/01,開発用データ,148,祇園祭や天神祭などで出され、関西の夏の味覚として知られる、「骨切り」という独特の調理法が用いられる魚といえば何？,ハモ,"はも, 鱧",祇園祭や天神祭などで出され、関西の夏の味覚として知られる、「骨切り」という独特の調理法が用いられる魚といえば何?,"['ハモ', 'はも', '鱧']"
AIO04-0149,第4回AI王,2023/09/01,開発用データ,149,『富嶽三十六景』、パラジウム、ジョー・バイデン、乃木坂から連想される数字はいくつ？,46,,『富嶽三十六景』、パラジウム、ジョー・バイデン、乃木坂から連想される数字はいくつ?,['46']
AIO04-0150,第4回AI王,2023/09/01,開発用データ,150,ギネスワールドレコードに登録されている、世界一小さいミカンと世界一大きなダイコンの名前に共通してつく地名は何？,桜島,,ギネスワールドレコードに登録されている、世界一小さいミカンと世界一大きなダイコンの名前に共通してつく地名は何?,['桜島']
AIO04-0151,第4回AI王,2023/09/01,開発用データ,151,日本における映画鑑賞の年齢制限のレイティングシステムで、すべての年齢層が視聴できることを示すアルファベット1文字は何？,G,,日本における映画鑑賞の年齢制限のレイティングシステムで、すべての年齢層が視聴できることを示すアルファベット1文字は何?,['G']
AIO04-0152,第4回AI王,2023/09/01,開発用データ,152,大阪市浪速区の「南陽通商店街」のことを、かつて楽器を鳴らして客を呼んだことから何という？,ジャンジャン横丁,,大阪市浪速区の「南陽通商店街」のことを、かつて楽器を鳴らして客を呼んだことから何という?,['ジャンジャン横丁']
AIO04-0153,第4回AI王,2023/09/01,開発用データ,153,英語では「キャッツクレイドル」という、漫画『ドラえもん』でのび太が得意とする遊びは何？,あやとり,綾取り,英語では「キャッツクレイドル」という、漫画『ドラえもん』でのび太が得意とする遊びは何?,"['あやとり', '綾取り']"
AIO04-0154,第4回AI王,2023/09/01,開発用データ,154,ラテンアメリカにおいて、ヨーロッパ系の白人とアフリカ系の黒人の間に生まれた子どもを何という？,ムラート,ムラト,ラテンアメリカにおいて、ヨーロッパ系の白人とアフリカ系の黒人の間に生まれた子どもを何という?,"['ムラート', 'ムラト']"
AIO04-0155,第4回AI王,2023/09/01,開発用データ,155,アルファベット2文字で「PV」と表される、インターネットのサイトに何人の人がアクセスしたかを示す単位は何？,ページビュー,,アルファベット2文字で「PV」と表される、インターネットのサイトに何人の人がアクセスしたかを示す単位は何?,['ページビュー']
AIO04-0156,第4回AI王,2023/09/01,開発用データ,156,タブーとされる箸使いのひとつで、箸をくぐらせて魚の骨の隙間にある下身を食べることを何という？,透かし箸,,タブーとされる箸使いのひとつで、箸をくぐらせて魚の骨の隙間にある下身を食べることを何という?,['透かし箸']
AIO04-0157,第4回AI王,2023/09/01,開発用データ,157,吉田松陰や大塩平八郎らが学んだ、学問だけでなく実践が重要であるとした儒学の一派は何？,陽明学,王学,吉田松陰や大塩平八郎らが学んだ、学問だけでなく実践が重要であるとした儒学の一派は何?,"['陽明学', '王学']"
AIO04-0158,第4回AI王,2023/09/01,開発用データ,158,肉、魚、野菜などに幅広く使えることから「三つの用途」という意味で名付けられた、家庭用の包丁を何という？,三徳包丁,,肉、魚、野菜などに幅広く使えることから「三つの用途」という意味で名付けられた、家庭用の包丁を何という?,['三徳包丁']
AIO04-0159,第4回AI王,2023/09/01,開発用データ,159,1月26日の命日は「寒梅忌」と呼ばれる、代表作『蝉しぐれ』や『隠し剣』シリーズで知られる作家は誰？,藤沢周平,,1月26日の命日は「寒梅忌」と呼ばれる、代表作『蝉しぐれ』や『隠し剣』シリーズで知られる作家は誰?,['藤沢周平']
AIO04-0160,第4回AI王,2023/09/01,開発用データ,160,薬品や化粧品、アルコールなどを皮膚に貼って、体質に合うかどうかを調べるテストを英語で何という？,パッチテスト,,薬品や化粧品、アルコールなどを皮膚に貼って、体質に合うかどうかを調べるテストを英語で何という?,['パッチテスト']
AIO04-0161,第4回AI王,2023/09/01,開発用データ,161,「日本数学検定協会」のシンボルマークのモチーフになったギリシャ文字は何？,π,パイ,「日本数学検定協会」のシンボルマークのモチーフになったギリシャ文字は何?,"['π', 'パイ']"
AIO04-0162,第4回AI王,2023/09/01,開発用データ,162,創業者の名前に由来する、レインコートやキルティングジャケットで知られるイギリスのブランドは何？,マッキントッシュ,Mackintosh,創業者の名前に由来する、レインコートやキルティングジャケットで知られるイギリスのブランドは何?,"['マッキントッシュ', 'Mackintosh']"
AIO04-0163,第4回AI王,2023/09/01,開発用データ,163,「刑事コロンボ」シリーズや「古畑任三郎」シリーズのように、犯人が主人公として描かれ、それを探偵や刑事が追うという形式のミステリーを何という？,倒叙物,"倒叙, 倒叙ミステリー",「刑事コロンボ」シリーズや「古畑任三郎」シリーズのように、犯人が主人公として描かれ、それを探偵や刑事が追うという形式のミステリーを何という?,"['倒叙物', '倒叙', '倒叙ミステリー']"
AIO04-0164,第4回AI王,2023/09/01,開発用データ,164,超音速で飛ぶ飛行機の衝撃波が地上に達して起こる爆発音を何という？,ソニックブーム,,超音速で飛ぶ飛行機の衝撃波が地上に達して起こる爆発音を何という?,['ソニックブーム']
AIO04-0165,第4回AI王,2023/09/01,開発用データ,165,飛行機の墜落事故で無人島に取り残された男女のサバイバル生活を描いた、2004年から2010年まで放送されていたアメリカのドラマシリーズは何？,LOST,ロスト,飛行機の墜落事故で無人島に取り残された男女のサバイバル生活を描いた、2004年から2010年まで放送されていたアメリカのドラマシリーズは何?,"['LOST', 'ロスト']"
AIO04-0166,第4回AI王,2023/09/01,開発用データ,166,音楽家でヨハン・シュトラウスはオーストリアの人ですが、リヒャルト・シュトラウスはどこの国の人？,ドイツ,ドイツ連邦共和国,音楽家でヨハン・シュトラウスはオーストリアの人ですが、リヒャルト・シュトラウスはどこの国の人?,"['ドイツ', 'ドイツ連邦共和国']"
AIO04-0167,第4回AI王,2023/09/01,開発用データ,167,熊本県八代市の特産品として知られる、厚い皮とほどよい酸味が特徴的なザボンの一種の柑橘類は何？,晩白柚,"ばんぺいゆ, バンペイユ",熊本県八代市の特産品として知られる、厚い皮とほどよい酸味が特徴的なザボンの一種の柑橘類は何?,"['晩白柚', 'ばんぺいゆ', 'バンペイユ']"
AIO04-0168,第4回AI王,2023/09/01,開発用データ,168,アクセサリーなどに用いられる、銀の含有率が92.5％の銀合金を何という？,スターリングシルバー,,アクセサリーなどに用いられる、銀の含有率が92.5%の銀合金を何という?,['スターリングシルバー']
AIO04-0169,第4回AI王,2023/09/01,開発用データ,169,国際民間航空機関（ICAO）の設立を目的として結ばれた国際民間航空条約のことを、1944年に締結されたアメリカの都市から何条約という？,シカゴ条約,シカゴ,国際民間航空機関の設立を目的として結ばれた国際民間航空条約のことを、1944年に締結されたアメリカの都市から何条約という?,"['シカゴ条約', 'シカゴ']"
AIO04-0170,第4回AI王,2023/09/01,開発用データ,170,チョコレートで村人たちを魅了する主人公・ヴィアンヌを描いた、2000年の映画は何？,ショコラ,,チョコレートで村人たちを魅了する主人公・ヴィアンヌを描いた、2000年の映画は何?,['ショコラ']
AIO04-0171,第4回AI王,2023/09/01,開発用データ,171,巧みな演奏から「鍵盤の獅子王」と呼ばれた、ベートーベンの直系の弟子であったことでも知られるピアニストは誰？,ヴィルヘルム・バックハウス,バックハウス,巧みな演奏から「鍵盤の獅子王」と呼ばれた、ベートーベンの直系の弟子であったことでも知られるピアニストは誰?,"['ヴィルヘルム・バックハウス', 'バックハウス']"
AIO04-0172,第4回AI王,2023/09/01,開発用データ,172,文房具のブランドで、ロディアといえばフランスのメーカーですが、モレスキンといえばどこの国のメーカー？,イタリア,イタリア共和国,文房具のブランドで、ロディアといえばフランスのメーカーですが、モレスキンといえばどこの国のメーカー?,"['イタリア', 'イタリア共和国']"
AIO04-0173,第4回AI王,2023/09/01,開発用データ,173,デモや集会などで、参加者が一斉にスローガンなどを唱和することを、ドイツ語で何という？,シュプレヒコール,,デモや集会などで、参加者が一斉にスローガンなどを唱和することを、ドイツ語で何という?,['シュプレヒコール']
AIO04-0174,第4回AI王,2023/09/01,開発用データ,174,ヒキガエル、モグラ、女の子、チューリップから連想される童話は何？,親指姫,,ヒキガエル、モグラ、女の子、チューリップから連想される童話は何?,['親指姫']
AIO04-0175,第4回AI王,2023/09/01,開発用データ,175,1952年にイギリスのテニスプレーヤーによって創設された、月桂樹のロゴで知られるアパレルブランドは何？,フレッドペリー,,1952年にイギリスのテニスプレーヤーによって創設された、月桂樹のロゴで知られるアパレルブランドは何?,['フレッドペリー']
AIO04-0176,第4回AI王,2023/09/01,開発用データ,176,親鸞とその弟子の唯円を描いた、倉田百三の戯曲は何？,出家とその弟子,,親鸞とその弟子の唯円を描いた、倉田百三の戯曲は何?,['出家とその弟子']
AIO04-0177,第4回AI王,2023/09/01,開発用データ,177,「オランダガラシ」という別名もある、肉料理のつけ合わせなどによく使われる野菜は何？,クレソン,"クレッソン, クレス",「オランダガラシ」という別名もある、肉料理のつけ合わせなどによく使われる野菜は何?,"['クレソン', 'クレッソン', 'クレス']"
AIO04-0178,第4回AI王,2023/09/01,開発用データ,178,日本語では「方尖塔」と訳される、古代エジプトで神殿の門前に立てられた記念碑を何という？,オベリスク,,日本語では「方尖塔」と訳される、古代エジプトで神殿の門前に立てられた記念碑を何という?,['オベリスク']
AIO04-0179,第4回AI王,2023/09/01,開発用データ,179,デザイナーの田島司が生み出した、バレーボールワールドカップのマスコットキャラクターは何？,バボちゃん,,デザイナーの田島司が生み出した、バレーボールワールドカップのマスコットキャラクターは何?,['バボちゃん']
AIO04-0180,第4回AI王,2023/09/01,開発用データ,180,東北地方で、北上川に次いで2番目に長い川は何？,阿武隈川,,東北地方で、北上川に次いで2番目に長い川は何?,['阿武隈川']
AIO04-0181,第4回AI王,2023/09/01,開発用データ,181,「水治療」などと訳される、温泉水を利用した伝統的な病気治療のことをフランス語で何という？,テルマリズム,,「水治療」などと訳される、温泉水を利用した伝統的な病気治療のことをフランス語で何という?,['テルマリズム']
AIO04-0182,第4回AI王,2023/09/01,開発用データ,182,沈没する豪華客船を舞台に、ジャックとローズの悲恋を描いた、1997年の映画は何？,タイタニック,,沈没する豪華客船を舞台に、ジャックとローズの悲恋を描いた、1997年の映画は何?,['タイタニック']
AIO04-0183,第4回AI王,2023/09/01,開発用データ,183,「智恵子は東京に空が無いといふ」という一節が有名な、高村光太郎の詩の題名は何？,あどけない話,,「智恵子は東京に空が無いといふ」という一節が有名な、高村光太郎の詩の題名は何?,['あどけない話']
AIO04-0184,第4回AI王,2023/09/01,開発用データ,184,批判禁止、質より量、自由奔放、結合便乗という4つの原則に基づいて行われる、ある課題に対して参加者が意見を出し合い、多彩なアイデアを出す会議の方法を何という？,ブレインストーミング,ブレーンストーミング,批判禁止、質より量、自由奔放、結合便乗という4つの原則に基づいて行われる、ある課題に対して参加者が意見を出し合い、多彩なアイデアを出す会議の方法を何という?,"['ブレインストーミング', 'ブレーンストーミング']"
AIO04-0185,第4回AI王,2023/09/01,開発用データ,185,政治家の浅沼稲次郎が結婚式の媒酌人を務めたことでも知られる、日本人初のボクシング世界チャンピオンは誰？,白井義男,,政治家の浅沼稲次郎が結婚式の媒酌人を務めたことでも知られる、日本人初のボクシング世界チャンピオンは誰?,['白井義男']
AIO04-0186,第4回AI王,2023/09/01,開発用データ,186,咽頭炎などの際にのどに塗布する、ヨウ素とヨウ化カリウムを水に溶かした液体を、初めて用いたフランスの医師の名前から何という？,ルゴール液,,咽頭炎などの際にのどに塗布する、ヨウ素とヨウ化カリウムを水に溶かした液体を、初めて用いたフランスの医師の名前から何という?,['ルゴール液']
AIO04-0187,第4回AI王,2023/09/01,開発用データ,187,インド南部とセイロン島の間にある海峡は何？,ポーク海峡,ポーク,インド南部とセイロン島の間にある海峡は何?,"['ポーク海峡', 'ポーク']"
AIO04-0188,第4回AI王,2023/09/01,開発用データ,188,インフルエンザなどのウイルスにみられる、タンパク質や脂質でできた膜のことを、「封筒」という意味の英語で何という？,エンベロープ,,インフルエンザなどのウイルスにみられる、タンパク質や脂質でできた膜のことを、「封筒」という意味の英語で何という?,['エンベロープ']
AIO04-0189,第4回AI王,2023/09/01,開発用データ,189,英語で「衣服」「服装」等の意味がある、ファッション業界を指す言葉は何？,アパレル,,英語で「衣服」「服装」等の意味がある、ファッション業界を指す言葉は何?,['アパレル']
AIO04-0190,第4回AI王,2023/09/01,開発用データ,190,18世紀から19世紀にかけて活躍したイギリスの物理学者で、複数箇所から出た光の波動の干渉実験を行い、その実験に名を残すのは誰？,トーマス・ヤング,"ヤング, トマス・ヤング",18世紀から19世紀にかけて活躍したイギリスの物理学者で、複数箇所から出た光の波動の干渉実験を行い、その実験に名を残すのは誰?,"['トーマス・ヤング', 'ヤング', 'トマス・ヤング']"
AIO04-0191,第4回AI王,2023/09/01,開発用データ,191,背中の縞模様から「タスマニアタイガー」と呼ばれる、20世紀に絶滅したオオカミの仲間は何？,フクロオオカミ,,背中の縞模様から「タスマニアタイガー」と呼ばれる、20世紀に絶滅したオオカミの仲間は何?,['フクロオオカミ']
AIO04-0192,第4回AI王,2023/09/01,開発用データ,192,伸び縮みするロープを足首に結び、高い所から飛び下りて恐怖感を味わう、レジャー施設などで行われているアトラクションは何？,バンジージャンプ,バンジー,伸び縮みするロープを足首に結び、高い所から飛び下りて恐怖感を味わう、レジャー施設などで行われているアトラクションは何?,"['バンジージャンプ', 'バンジー']"
AIO04-0193,第4回AI王,2023/09/01,開発用データ,193,神社建築で、屋根の棟木の上に棟と直角に並べられた飾りの木を、中ぶくれした見た目がある食べ物に似ていることから何という？,鰹木,,神社建築で、屋根の棟木の上に棟と直角に並べられた飾りの木を、中ぶくれした見た目がある食べ物に似ていることから何という?,['鰹木']
AIO04-0194,第4回AI王,2023/09/01,開発用データ,194,注射用の薬剤などを無菌状態で密封するためのガラス容器のことをフランス語で何という？,アンプル,"アンプール, アンプレ",注射用の薬剤などを無菌状態で密封するためのガラス容器のことをフランス語で何という?,"['アンプル', 'アンプール', 'アンプレ']"
AIO04-0195,第4回AI王,2023/09/01,開発用データ,195,UberEatsを展開するウーバー・テクノロジーズが本社を置くアメリカの都市はどこ？,サンフランシスコ,,UberEatsを展開するウーバー・テクノロジーズが本社を置くアメリカの都市はどこ?,['サンフランシスコ']
AIO04-0196,第4回AI王,2023/09/01,開発用データ,196,日本では、第二次世界大戦中、軍服の毛皮のために輸入されたものが野生化したとされる、大型のネズミの仲間といえば何？,ヌートリア,,日本では、第二次世界大戦中、軍服の毛皮のために輸入されたものが野生化したとされる、大型のネズミの仲間といえば何?,['ヌートリア']
AIO04-0197,第4回AI王,2023/09/01,開発用データ,197,1990年のF１日本グランプリで3位入賞を果たし、日本人初の表彰台にのぼった選手は誰？,鈴木亜久里,,1990年のF1日本グランプリで3位入賞を果たし、日本人初の表彰台にのぼった選手は誰?,['鈴木亜久里']
AIO04-0198,第4回AI王,2023/09/01,開発用データ,198,メジャーリーグ、ヤンキースの永久欠番3番といえば、往年の名選手である誰にちなんだ背番号？,ベーブ・ルース,"ジョージ・ハーマン・""ベーブ"" ・ルース・ジュニア",メジャーリーグ、ヤンキースの永久欠番3番といえば、往年の名選手である誰にちなんだ背番号?,"['ベーブ・ルース', 'ジョージ・ハーマン・""ベーブ"" ・ルース・ジュニア']"
AIO04-0199,第4回AI王,2023/09/01,開発用データ,199,歴代内閣総理大臣の原敬、高橋是清、加藤友三郎らを輩出した、日本最初の本格的政党政治を行った政党は何？,立憲政友会,政友会,歴代内閣総理大臣の原敬、高橋是清、加藤友三郎らを輩出した、日本最初の本格的政党政治を行った政党は何?,"['立憲政友会', '政友会']"
AIO04-0200,第4回AI王,2023/09/01,開発用データ,200,日本語では「湿潤療法」ともいう、切り傷などのケガをパット状の絆創膏で覆い、潤った状態で治療する方法を何という？,モイストヒーリング,,日本語では「湿潤療法」ともいう、切り傷などのケガをパット状の絆創膏で覆い、潤った状態で治療する方法を何という?,['モイストヒーリング']
AIO04-0201,第4回AI王,2023/09/01,開発用データ,201,パソコンやスマホの動画や音声ソフトで画面に表示される、現在の再生位置を示すバーを何という？,シークバー,,パソコンやスマホの動画や音声ソフトで画面に表示される、現在の再生位置を示すバーを何という?,['シークバー']
AIO04-0202,第4回AI王,2023/09/01,開発用データ,202,物事の善し悪しを考えず、むやみに人の真似をすることを、古代中国の西施という女性にまつわる故事から何という？,顰みに倣う,,物事の善し悪しを考えず、むやみに人の真似をすることを、古代中国の西施という女性にまつわる故事から何という?,['顰みに倣う']
AIO04-0203,第4回AI王,2023/09/01,開発用データ,203,有川浩のシリーズ小説のタイトルで、「内乱」「危機」「革命」「戦争」の前につく言葉は何？,図書館,,有川浩のシリーズ小説のタイトルで、「内乱」「危機」「革命」「戦争」の前につく言葉は何?,['図書館']
AIO04-0204,第4回AI王,2023/09/01,開発用データ,204,マンハッタンなどのカクテルに使われる、「ニガヨモギ」という意味の名前のリキュールは何？,ベルモット,ヴェルモット,マンハッタンなどのカクテルに使われる、「ニガヨモギ」という意味の名前のリキュールは何?,"['ベルモット', 'ヴェルモット']"
AIO04-0205,第4回AI王,2023/09/01,開発用データ,205,甘く煮たサザエを刻んで卵でとじた丼料理を、発祥地である神奈川県藤沢市の地名から何という？,江の島丼,,甘く煮たサザエを刻んで卵でとじた丼料理を、発祥地である神奈川県藤沢市の地名から何という?,['江の島丼']
AIO04-0206,第4回AI王,2023/09/01,開発用データ,206,コンピュータで、文字が他の文字や意味不明な記号に変化して表示されてしまうことを何という？,文字化け,,コンピュータで、文字が他の文字や意味不明な記号に変化して表示されてしまうことを何という?,['文字化け']
AIO04-0207,第4回AI王,2023/09/01,開発用データ,207,話し上手でよく喋ることを「能弁」といいますが、話し下手で口が重いことを何という？,訥弁,,話し上手でよく喋ることを「能弁」といいますが、話し下手で口が重いことを何という?,['訥弁']
AIO04-0208,第4回AI王,2023/09/01,開発用データ,208,エチオピアでもっとも面積の広い湖で、青ナイルの源流となっているのはどこ？,タナ湖,,エチオピアでもっとも面積の広い湖で、青ナイルの源流となっているのはどこ?,['タナ湖']
AIO04-0209,第4回AI王,2023/09/01,開発用データ,209,アルテミスが放ったサソリで命を落としたと伝えられる、ギリシャ神話に登場する美男の狩人は誰？,オリオン,オーリーオーン,アルテミスが放ったサソリで命を落としたと伝えられる、ギリシャ神話に登場する美男の狩人は誰?,"['オリオン', 'オーリーオーン']"
AIO04-0210,第4回AI王,2023/09/01,開発用データ,210,1904年6月16日のダブリンで起こった出来事を、小説家志望のスティーヴン・ディーダラスと、広告取りのレオポルド・ブルームの視点から描いた、ジェイムズ・ジョイスの代表作は何？,ユリシーズ,,1904年6月16日のダブリンで起こった出来事を、小説家志望のスティーヴン・ディーダラスと、広告取りのレオポルド・ブルームの視点から描いた、ジェイムズ・ジョイスの代表作は何?,['ユリシーズ']
